unit	purchasable_effect	is_exclusive
#unit_purchasable_effect_sets_tables	1	db/unit_purchasable_effect_sets_tables/zzzzzz_unit_sets_arkhan
steve_ark_cairn_wraith	tmb_balefire_magics_arkhan_unique	true
steve_ark_cairn_wraith	tmb_balefire_magics_ethereal_frostbite_attacks	true
steve_ark_cairn_wraith	tmb_balefire_magics_skeleton_nehekharan_tomb_weapons	true
steve_ark_cairn_wraith	tmb_balefire_magics_skeleton_nehekharan_tomb_armour	true
steve_ark_cairn_wraith	tmb_balefire_magics_skeleton_nehekharan_tomb_relics	true
steve_ark_cairn_wraith	tmb_balefire_magics_skeleton_nehekharan_tomb_banners	true
steve_ark_crypt_horror	tmb_balefire_magics_arkhan_unique	true
steve_ark_crypt_horror	tmb_balefire_magics_ushabti_tier_1	true
steve_ark_crypt_horror	tmb_balefire_magics_ushabti_tier_2	true
steve_ark_crypt_horror	tmb_balefire_magics_ushabti_tier_3	true
steve_ark_grave_guard	tmb_balefire_magics_skeleton_nehekharan_tomb_weapons	true
steve_ark_grave_guard	tmb_balefire_magics_skeleton_nehekharan_tomb_armour	true
steve_ark_grave_guard	tmb_balefire_magics_skeleton_nehekharan_tomb_relics	true
steve_ark_grave_guard	tmb_balefire_magics_skeleton_nehekharan_tomb_banners	true
steve_ark_grave_guard	tmb_balefire_magics_arkhan_unique	true
steve_ark_grave_guard_great	tmb_balefire_magics_skeleton_nehekharan_tomb_weapons	true
steve_ark_grave_guard_great	tmb_balefire_magics_skeleton_nehekharan_tomb_armour	true
steve_ark_grave_guard_great	tmb_balefire_magics_skeleton_nehekharan_tomb_relics	true
steve_ark_grave_guard_great	tmb_balefire_magics_skeleton_nehekharan_tomb_banners	true
steve_ark_grave_guard_great	tmb_balefire_magics_arkhan_unique	true
steve_ark_nagashizzar_guard	tmb_balefire_magics_skeleton_nehekharan_tomb_weapons	true
steve_ark_nagashizzar_guard	tmb_balefire_magics_skeleton_nehekharan_tomb_armour	true
steve_ark_nagashizzar_guard	tmb_balefire_magics_skeleton_nehekharan_tomb_relics	true
