key	text	tooltip
#Loc PackedFile	1	text/db/arkhan_tk_upgrades_effect_bundles.loc
effect_bundles_localised_title_tmb_balefire_magics_screaming_skull_tier_1	Screaming Skulls	true
effect_bundles_localised_description_tmb_balefire_magics_screaming_skull_tier_1	The Liche Priests cast terrible curses upon every one of these skulls, enchanting them so that they scream hideously as they are hurled through the air, rising to a deafening crescendo just before they strike their target.	true
effect_bundles_localised_title_tmb_balefire_magics_screaming_skull_tier_2	Exploding Skulls	true
effect_bundles_localised_description_tmb_balefire_magics_screaming_skull_tier_2	This horrific ammunition bursts into hellish, ethereal flames when it is launched, and as the skulls arc through the air, they blaze an eerie trail of green-fire behind them.	true
effect_bundles_localised_title_tmb_balefire_magics_casket_of_souls_tier_1	Unbound Magical Reserves	true
effect_bundles_localised_description_tmb_balefire_magics_casket_of_souls_tier_1	Inscribed with hieroglyphs of malediction, the casket greatly bolsters the magical reserves of any wielder of the arcane.	true
effect_bundles_localised_title_tmb_balefire_magics_casket_of_souls_tier_2	Unleash the Realm of Souls	true
effect_bundles_localised_description_tmb_balefire_magics_casket_of_souls_tier_2	When a Casket of Souls is opened, blinding light spills across the battlefield as countless souls scream into the air seeking freedom from the suffering of their confinement.	true
effect_bundles_localised_title_tmb_balefire_magics_casket_of_souls_tier_3	Amyntok's Protection	true
effect_bundles_localised_description_tmb_balefire_magics_casket_of_souls_tier_3	The Wizard casts an arcane net, created to hold the Great Deceiver himself. Any caught in its strands will struggle to act.	true
effect_bundles_localised_title_tmb_balefire_magics_arkhan_unique	Rituals of Desecration	true
effect_bundles_localised_description_tmb_balefire_magics_arkhan_unique	"You have read the signs as clearly as I. The growing power of Chaos makes no distinction between the living and the dead. Nagash must rise, or our realms of silence will fall."	true
effect_bundles_localised_title_tmb_balefire_magics_khatep_unique	Incantation of Souls	true
effect_bundles_localised_description_tmb_balefire_magics_khatep_unique	'Nehekhara will return to the Golden Age!'	true
effect_bundles_localised_title_tmb_balefire_magics_settra_unique	Unwavering legions	true
effect_bundles_localised_description_tmb_balefire_magics_settra_unique	"Now make ready your weapons, my soldiers, for the time is at hand. Go forth, I command you go forth in haste and march with your king into the darkness of the tomb. Make great the name of Settra and Khemri!' 	true
effect_bundles_localised_title_tmb_balefire_magics_khalida_unique	Barrage of Lybaras	true
effect_bundles_localised_description_tmb_balefire_magics_khalida_unique	"Lybaras is vengeance given form. It is the wrath, the wrack and the ruin of all those who would dare challenge the Great Land'	true
effect_bundles_localised_title_tmb_balefire_magics_skeleton_nehekharan_tomb_weapons	Ancient Blades	true
effect_bundles_localised_description_tmb_balefire_magics_skeleton_nehekharan_tomb_weapons	Blades of long forgotton Dynasties make for formidable weapons.	true
effect_bundles_localised_title_tmb_balefire_magics_skeleton_nehekharan_tomb_armour	Crypt Shields	true
effect_bundles_localised_description_tmb_balefire_magics_skeleton_nehekharan_tomb_armour	Ancient barrow armour provides superior defence from any attack.	true
effect_bundles_localised_title_tmb_balefire_magics_skeleton_nehekharan_tomb_relics	Ancient Relics	true
effect_bundles_localised_description_tmb_balefire_magics_skeleton_nehekharan_tomb_relics	Relics of power enhance and bolster resilience.	true
effect_bundles_localised_title_tmb_balefire_magics_skeleton_nehekharan_tomb_banners	Tomb Herald Banners	true
effect_bundles_localised_description_tmb_balefire_magics_skeleton_nehekharan_tomb_banners	The Banners of the Tomb Kings represent the endless, tireless legions of Nehekhara.	true
effect_bundles_localised_title_tmb_balefire_magics_necro_warsphinx_heirotitan_weapons	Decapitating Strike	true
effect_bundles_localised_description_tmb_balefire_magics_necro_warsphinx_heirotitan_weapons	Decapitating Strikes smash foes into the ground with gigantic stone claws and teeth.	true
effect_bundles_localised_title_tmb_balefire_magics_necro_warsphinx_heirotitan_armour	Sacred War Statues	true
effect_bundles_localised_description_tmb_balefire_magics_necro_warsphinx_heirotitan_armour	Even the strongest and mightiest weapons cannot destroy that which is almost indestructible.	true
effect_bundles_localised_title_tmb_balefire_magics_necro_warsphinx_heirotitan_relics	Runic Titans	true
effect_bundles_localised_description_tmb_balefire_magics_necro_warsphinx_heirotitan_relics	Extra runes engraved on these titan constructs weave magical spells of protection.	true
effect_bundles_localised_title_tmb_balefire_magics_bats_carrion_dire_weapons	Rotting Fangs and Claws	true
effect_bundles_localised_description_tmb_balefire_magics_bats_carrion_dire_weapons	Fangs and Claws are, surprisingly, an effective way to slaughter your prey.	true
