Loc PackedFile	1
key	text	tooltip
special_ability_phases_onscreen_name_followers_of_nagash_contact_effect_desecration	Deals 2 damage to 10 entities in a unit per second	true
special_ability_phases_onscreen_name_followers_of_nagash_passive_effect_desecration		true
special_ability_phases_onscreen_name_exiles_of_nehek_passive_effect_contact_effect_incantation	Incantation of Souls	true
special_ability_phases_onscreen_name_exiles_of_nehek_passive_effect_incantation		true
special_ability_phases_onscreen_name_khemri_passive_effect_unwavering_legions		true
special_ability_phases_onscreen_name_court_of_lybaras_passive_effect_barrage		true
special_ability_phases_onscreen_name_tk_cavalry_unit_passive_devastating_charge		true
special_ability_phases_onscreen_name_tmb_screaming_skull_catapult_rapid_reload		true
special_ability_phases_onscreen_name_tmb_screaming_skull_catapult_area_damage		true
